Date,Open,High,Low,Close,Volume,Adj Close
2015-10-29,31.690001,32.689999,30.00,31.33,165900,31.33
2015-10-28,30.780001,32.279999,29.809999,31.90,80400,31.90
2015-10-27,30.709999,31.65,29.26,30.58,155600,30.58
2015-10-26,28.68,31.33,28.049999,31.01,160500,31.01
2015-10-23,28.780001,29.33,28.114,28.82,103300,28.82
2015-10-22,29.870001,30.02,27.629999,28.73,164800,28.73
2015-10-21,29.610001,31.120001,27.10,28.049999,186200,28.049999
2015-10-20,31.299999,31.83,29.26,29.59,130600,29.59
2015-10-19,30.870001,32.009998,30.440001,31.49,107500,31.49
2015-10-16,30.58,31.42,30.34,30.93,173200,30.93
2015-10-15,29.32,30.59,28.73,30.41,72800,30.41
2015-10-14,28.98,29.68,28.32,29.08,99200,29.08
2015-10-13,29.10,30.16,28.75,29.049999,165600,29.049999
2015-10-12,29.870001,30.802,29.00,29.34,262000,29.34
2015-10-09,29.17,30.690001,29.063,29.799999,136100,29.799999
2015-10-08,29.15,29.459999,28.445,29.219999,273800,29.219999
2015-10-07,28.18,30.459999,27.695,29.299999,270000,29.299999
2015-10-06,27.27,28.700001,27.27,28.17,407800,28.17
2015-10-05,26.84,27.841,26.625999,27.74,337000,27.74
2015-10-02,25.50,27.440001,25.00,26.15,408600,26.15
2015-10-01,29.65,30.02,25.018,25.83,633400,25.83
2015-09-30,27.889999,29.83,26.945,29.639999,1665000,29.639999
2015-09-29,34.560001,34.560001,27.00,27.00,871500,27.00
2015-09-28,38.349998,38.52,33.66,34.650002,859500,34.650002
2015-09-25,39.59,39.636002,38.00,38.349998,296200,38.349998
2015-09-24,39.23,39.830002,38.57,39.150002,127500,39.150002
2015-09-23,38.509998,40.380001,38.00,39.669998,319000,39.669998
2015-09-22,42.619999,42.619999,38.02,38.599998,437900,38.599998
2015-09-21,45.91,46.720001,42.775002,43.32,198200,43.32
2015-09-18,48.48,49.471001,45.00,45.720001,652700,45.720001
2015-09-17,48.43,49.535,47.161999,48.439999,199200,48.439999
2015-09-16,47.00,48.990002,46.919998,48.68,156000,48.68
2015-09-15,47.110001,47.433998,46.080002,46.73,70900,46.73
2015-09-14,48.970001,49.720001,46.042,46.880001,166200,46.880001
2015-09-11,47.349998,49.304001,47.305,48.66,110000,48.66
2015-09-10,49.400002,49.490002,46.02,47.709999,204300,47.709999
2015-09-09,49.220001,52.00,47.787998,49.490002,266300,49.490002
2015-09-08,44.50,48.98,44.209999,48.23,297500,48.23
2015-09-04,43.09,44.50,42.941002,44.259998,91500,44.259998
2015-09-03,42.310001,43.990002,42.009998,43.439999,206000,43.439999
2015-09-02,41.82,42.240002,40.750999,42.00,111500,42.00
2015-09-01,40.369999,41.98,39.880001,40.970001,115800,40.970001
2015-08-31,40.959999,42.560001,40.939999,41.330002,126400,41.330002
2015-08-28,40.150002,41.48,40.080002,41.02,58400,41.02
2015-08-27,39.470001,41.240002,39.220001,40.490002,138500,40.490002
2015-08-26,39.619999,39.73,37.029999,39.16,187200,39.16
2015-08-25,39.389999,39.75,38.009998,38.50,106300,38.50
2015-08-24,39.48,40.580002,37.279999,38.009998,195200,38.009998
2015-08-21,39.09,40.939999,38.103001,40.560001,217800,40.560001
2015-08-20,42.00,44.00,39.00,39.290001,581100,39.290001
2015-08-19,38.130001,40.98,38.00,40.400002,165100,40.400002
2015-08-18,38.860001,39.259998,37.610001,38.029999,155000,38.029999
2015-08-17,38.720001,39.389999,38.200001,38.860001,47900,38.860001
2015-08-14,40.119999,40.650002,37.970001,38.970001,151300,38.970001
2015-08-13,39.439999,40.290001,38.68,40.145,101100,40.145
2015-08-12,39.27,39.93,36.529999,39.360001,113200,39.360001
2015-08-11,39.18,41.549999,39.18,40.02,143900,40.02
2015-08-10,40.00,40.115002,38.830002,40.07,133600,40.07
2015-08-07,39.68,40.50,38.00,40.049999,78700,40.049999
2015-08-06,40.52,41.189999,39.540001,40.049999,121200,40.049999
2015-08-05,39.299999,41.00,38.509998,40.509998,73000,40.509998
2015-08-04,38.91,41.50,38.360001,39.110001,49500,39.110001
2015-08-03,37.73,40.720001,36.82,38.91,130200,38.91
2015-07-31,38.02,38.57,37.59,37.849998,161600,37.849998
2015-07-30,38.00,39.450001,36.952999,38.029999,128800,38.029999
2015-07-29,36.490002,38.00,36.00,37.619999,97000,37.619999
2015-07-28,35.25,37.049999,34.799999,36.419998,232100,36.419998
2015-07-27,37.869999,38.00,34.50,35.049999,218100,35.049999
2015-07-24,41.009998,41.009998,37.509998,38.200001,113300,38.200001
2015-07-23,41.560001,43.00,41.07,41.119999,60800,41.119999
2015-07-22,39.450001,41.700001,39.296001,41.07,79500,41.07
2015-07-21,41.68,41.709999,37.259998,39.16,263700,39.16
2015-07-20,44.48,45.278,41.099998,42.380001,113200,42.380001
2015-07-17,46.799999,51.00,43.00,43.990002,375500,43.990002
2015-07-16,44.00,47.18,43.182999,46.50,192600,46.50
2015-07-15,42.25,45.200001,42.25,43.740002,103400,43.740002
2015-07-14,42.00,43.419998,42.00,42.169998,117000,42.169998
2015-07-13,40.799999,44.43,40.799999,42.290001,163300,42.290001
2015-07-10,40.00,41.689999,40.00,40.900002,87300,40.900002
2015-07-09,40.040001,40.970001,39.52,39.84,60800,39.84
2015-07-08,39.400002,40.91,38.77,39.970001,173100,39.970001
2015-07-07,40.00,40.900002,38.599998,39.799999,279200,39.799999
2015-07-06,40.00,40.50,37.150002,40.110001,319200,40.110001
2015-07-02,39.799999,41.150002,39.509998,40.110001,111200,40.110001
2015-07-01,42.400002,42.799999,39.799999,39.799999,293000,39.799999
2015-06-30,39.599998,42.00,39.50,41.50,482600,41.50
2015-06-29,41.950001,43.849998,35.900002,38.00,2083600,38.00
2015-06-26,28.50,51.400002,28.110001,51.400002,9079600,51.400002
